symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,93857.308,11419919007.7456,19904606.00000000,2025-08-11 09:00:00+00:00
BTCUSDT,93496.304,11351543668.313025,19904606.00000000,2025-08-11 10:00:00+00:00
BTCUSDT,93351.552,11312808418.316725,19904606.00000000,2025-08-11 11:00:00+00:00
BTCUSDT,93205.783,11236456148.202765,19904606.00000000,2025-08-11 12:00:00+00:00
BTCUSDT,93516.441,11187076250.673014,19904606.00000000,2025-08-11 13:00:00+00:00
BTCUSDT,93544.993,11221376725.301,19904606.00000000,2025-08-11 14:00:00+00:00
BTCUSDT,93553.641,11245575090.040688,19904606.00000000,2025-08-11 15:00:00+00:00
BTCUSDT,93257.654,11216747775.69655,19904606.00000000,2025-08-11 16:00:00+00:00
BTCUSDT,92536.345,11096835327.865656,19904606.00000000,2025-08-11 17:00:00+00:00
BTCUSDT,92126.907,11006852889.313423,19904606.00000000,2025-08-11 18:00:00+00:00
BTCUSDT,91751.451,10987052754.348,19904606.00000000,2025-08-11 19:00:00+00:00
BTCUSDT,90574.302,10782499298.4618,19904606.00000000,2025-08-11 20:00:00+00:00
BTCUSDT,90284.289,10724777170.889353,19904606.00000000,2025-08-11 21:00:00+00:00
BTCUSDT,89864.927,10664378725.0024,19904606.00000000,2025-08-11 22:00:00+00:00
BTCUSDT,89738.664,10665045366.2784,19904606.00000000,2025-08-11 23:00:00+00:00
BTCUSDT,89725.76,10645255106.39375,19904606.00000000,2025-08-12 00:00:00+00:00
BTCUSDT,89813.207,10679499836.6353,19904606.00000000,2025-08-12 01:00:00+00:00
BTCUSDT,89860.103,10686558833.2132,19904606.00000000,2025-08-12 02:00:00+00:00
BTCUSDT,89846.78,10692501702.105488,19905062.00000000,2025-08-12 03:00:00+00:00
BTCUSDT,89749.039,10663370520.5148,19905062.00000000,2025-08-12 04:00:00+00:00
BTCUSDT,89730.185,10680287102.52597,19905062.00000000,2025-08-12 05:00:00+00:00
BTCUSDT,89417.683,10621432828.60638,19905062.00000000,2025-08-12 06:00:00+00:00
BTCUSDT,89377.037,10617339543.2299,19905062.00000000,2025-08-12 07:00:00+00:00
BTCUSDT,89192.509,10607834561.1371,19905062.00000000,2025-08-12 08:00:00+00:00
BTCUSDT,89279.898,10603005678.3372,19905062.00000000,2025-08-12 09:00:00+00:00
BTCUSDT,89342.634,10574415474.972,19905062.00000000,2025-08-12 10:00:00+00:00
BTCUSDT,89193.496,10561134280.872,19905062.00000000,2025-08-12 11:00:00+00:00
BTCUSDT,89172.73,10563767203.993,19905062.00000000,2025-08-12 12:00:00+00:00
BTCUSDT,89805.376,10706497822.907942,19905062.00000000,2025-08-12 13:00:00+00:00
BTCUSDT,89643.457,10650225374.0705,19905062.00000000,2025-08-12 14:00:00+00:00
BTCUSDT,89832.474,10727228100.4938,19905062.00000000,2025-08-12 15:00:00+00:00
BTCUSDT,89917.19,10779758290.026,19905062.00000000,2025-08-12 16:00:00+00:00
BTCUSDT,89277.643,10677351614.614548,19905062.00000000,2025-08-12 17:00:00+00:00
BTCUSDT,88999.617,10610849851.733456,19905062.00000000,2025-08-12 18:00:00+00:00
BTCUSDT,89137.323,10633859790.5925,19905062.00000000,2025-08-12 19:00:00+00:00
BTCUSDT,89315.488,10683234957.0567,19905062.00000000,2025-08-12 20:00:00+00:00
BTCUSDT,88767.573,10664298873.4194,19905062.00000000,2025-08-12 21:00:00+00:00
BTCUSDT,88623.202,10621845252.508,19905062.00000000,2025-08-12 22:00:00+00:00
BTCUSDT,88715.859,10650330001.3641,19905062.00000000,2025-08-12 23:00:00+00:00
BTCUSDT,88969.703,10683570905.943,19905062.00000000,2025-08-13 00:00:00+00:00
BTCUSDT,88588.922,10601368384.627594,19905062.00000000,2025-08-13 01:00:00+00:00
BTCUSDT,88340.725,10550400163.63586,19905281.00000000,2025-08-13 02:00:00+00:00
BTCUSDT,88417.488,10566249562.732103,19905281.00000000,2025-08-13 03:00:00+00:00
BTCUSDT,88533.235,10574104683.467594,19905281.00000000,2025-08-13 04:00:00+00:00
BTCUSDT,88669.564,10578080253.896832,19905281.00000000,2025-08-13 05:00:00+00:00
BTCUSDT,88965.735,10589582540.4765,19905281.00000000,2025-08-13 06:00:00+00:00
BTCUSDT,88922.602,10614513155.536,19905281.00000000,2025-08-13 07:00:00+00:00
BTCUSDT,89384.671,10685692094.372017,19905281.00000000,2025-08-13 08:00:00+00:00
BTCUSDT,89304.189,10717895825.3484,19905281.00000000,2025-08-13 09:00:00+00:00
BTCUSDT,89750.782,10778261161.162,19905281.00000000,2025-08-13 10:00:00+00:00
BTCUSDT,90273.992,10875163377.8528,19905281.00000000,2025-08-13 11:00:00+00:00
BTCUSDT,90696.901,10933221185.4668,19905281.00000000,2025-08-13 12:00:00+00:00
BTCUSDT,90896.928,10930188505.662352,19905281.00000000,2025-08-13 13:00:00+00:00
BTCUSDT,93255.969,11355131233.715809,19905281.00000000,2025-08-13 14:00:00+00:00
BTCUSDT,92856.361,11224476917.68,19905281.00000000,2025-08-13 15:00:00+00:00
BTCUSDT,92639.874,11200824230.88926,19905281.00000000,2025-08-13 16:00:00+00:00
BTCUSDT,92813.851,11269448507.0349,19905281.00000000,2025-08-13 17:00:00+00:00
BTCUSDT,92915.654,11314757308.023,19905281.00000000,2025-08-13 18:00:00+00:00
